shrid2,town_village_name,pc11_state_id,pc11_district_id,pc11_subdistrict_id,pc11_town_village_id,ntl_2021,ntl_2025,built_2020,built_2025,pop_2020,pop_2025,facebook_mean_rwi,ntl_log_change,built_log_change,pop_log_change,signals_growing,ntl_grew,built_grew,pop_grew,ntl_score,built_score,pop_score,rwi_score,composite_score,composite_score_equal,rank,in_equal_weights_top100
11-29-581-05592-622136,Hedaginabele,29,581,05592,622136,1.8481816378506748,22.584999778053977,104.34006734006734,117.01346801346801,1.7877933846579657,1.8256184554185328,0.1607218297883425,2.1139301384745006,0.11360490034102089,0.013476881561121479,3,1,1,1,0.5250182052166409,0.01843874007306831,0.004669281285141299,0.481080485209957,0.2652692818259972,0.2573016779462019,67,False
11-14-274-01871-269584,College Veng,14,274,01871,269584,1.659999966621399,3.684999942779541,50.1,201.1,0.5912769094109536,4.922043763101101,0.6089997735419688,0.5660397932315788,1.3749781271999164,1.3141448379616056,3,1,1,1,0.140582316754375,0.2231669955916418,0.45530650915274157,0.6236804275812371,0.2650053942898596,0.3606840622699989,68,True
11-29-583-05603-625424,Naganayakanahalli,29,583,05603,625424,1.6607144219534737,20.477142333984375,203.66857142857143,240.82285714285715,2.9150944758845228,3.214897244412984,0.0359930351418133,2.0883945559208614,0.1668135167498992,0.07378575168407986,3,1,1,1,0.518676157540861,0.02707480986113048,0.025564254452043092,0.4414034964656487,0.2649216342821114,0.2531796795799208,69,False
11-17-293-01968-274176,Dabelagre,17,293,01968,274176,0.39499998092651367,0.4449999928474426,0.15384615384615385,38.90769230769231,0.0029586649858034573,0.6987349970982625,-0.3867466083992631,0.035214915013949966,3.543468251340079,0.5269295579634512,3,1,1,1,0.00874601820608064,0.5751256314428317,0.1825631777223825,0.30692744283195844,0.26286959922897657,0.2683405675508133,70,True
11-23-421-03399-453814,Nayakpura,23,421,03399,453814,1.277500033378601,1.372499942779541,0.0,32.092592592592595,0.0,0.5773136350843642,-0.246498993082545,0.040865862575949596,3.4993094685951536,0.4557231690465286,3,1,1,1,0.010149494268404724,0.5679584026126263,0.15789258477813375,0.35154106288743253,0.2616832326272444,0.2718853861366493,71,False
11-03-051-00265-038848,Chaunta Khurd  (68),03,051,00265,038848,0.956666628519694,1.2616666158040364,0.0989010989010989,31.63736263736264,0.0011870983455862319,0.3519711544593939,-0.1471828052189108,0.144859656453721,3.3911470458086543,0.3003772476326702,3,1,1,1,0.03597751669055415,0.5504030084927704,0.10407050432939828,0.38313414673916263,0.26095604997201727,0.26839629406297133,72,False
11-06-070-00359-057388,Kapuri  (67),06,070,00359,057388,2.476250171661377,3.021249771118164,7.0,90.23404255319149,0.07742088803268493,1.8592031064264951,0.4384958824104503,0.1456385667057849,2.433986559360744,0.9759728333686091,3,1,1,1,0.0361709677678251,0.3950502608133471,0.3381414064512381,0.569442102032933,0.2604013995627806,0.3347011842663358,73,True
11-22-405-03284-437095,Nimuhi,22,405,03284,437095,2.2191667556762695,23.068751017252605,538.8521126760563,576.8239436619718,13.230828930977994,14.10045527266732,0.3144281205397639,2.0117918063054576,0.06797398989751091,0.05931423111633727,3,1,1,1,0.4996510074728641,0.011032576303374555,0.020550364566015562,0.5299753918380251,0.2598018985640316,0.26530233504506984,74,True
11-08-104-00503-073527,Chak Bhayari,08,104,00503,073527,1.3849999904632568,8.654999732971191,132.38235294117646,325.2647058823529,3.564319916726912,7.758226209922748,-0.2530000000000001,1.3982767678817583,0.8944891951894229,0.6517238717604585,3,1,1,1,0.3472776823169654,0.14518083039337334,0.22580016479997225,0.349473053018328,0.2585416935862955,0.2669329326321597,75,False
11-06-076-00378-059693,Kailana Taluka Mahmudpur  (43),06,076,00378,059693,1.971666653951009,16.357083638509113,375.74632352941177,471.90441176470586,4.917709443882546,6.384114109705585,0.4823196263908945,1.7648777435783032,0.22732119970022246,0.22138149496426696,3,1,1,1,0.4383271369738564,0.036895560858627566,0.07670116166155844,0.5833827017282409,0.2580877455121201,0.2838266403055708,76,True
