pc11_state_id,pc11_district_id,pc11_subdistrict_id,facebook_pop_sum,facebook_pop_num_cells
24,468,00000,61364.37664904664,9341.775754817028
24,468,03722,73836.95957209202,11809.261964111589
24,468,03723,263277.4761147852,23229.694958327334
24,468,03724,288245.6623670313,27348.07476124412
24,468,03725,341334.52564601006,34428.80874841422
24,468,03726,445124.6327711267,68068.27543767604
24,468,03727,167110.6427992481,23538.060649672523
24,468,03728,154944.24644621802,22171.01668312354
24,468,03729,270147.5279143383,29551.157692659886
24,468,03730,212572.3626891705,27209.30035128236
24,468,03731,329455.4639751277,23999.610563966053
24,469,03732,248871.01400833955,31448.08247189791
24,469,03733,390324.9777581441,61115.95587910324
24,469,03734,228894.01871559047,42947.22555721379
24,469,03735,134383.73400389386,17873.13573488065
24,469,03736,149799.3525857307,12916.305045635032
24,469,03737,282149.7453884489,23553.579268975293
24,469,03738,297620.8796475025,36267.69820824763
24,469,03739,517267.7263200111,51367.10532523012
24,469,03740,736808.5852470234,80159.93783013981
24,469,03741,218054.52329807432,28810.223334932583
24,469,03742,137103.0413182104,15129.595212828208
24,469,03743,328042.2337172986,31991.05055039821
24,470,03744,140458.35289911705,13154.517992472276
24,470,03745,153935.3083221697,13445.672863153082
24,470,03746,199846.42607764847,20670.258627156807
24,470,03747,437791.177053275,37283.10958756806
24,470,03748,106215.39726965592,8262.029378116946
24,470,03749,217898.4018521897,16024.693781018228
24,470,03750,157101.2359725667,9905.09268164885
24,471,03751,67166.35976536885,11983.392738382216
24,471,03752,104461.3694547981,15333.851849457133
24,471,03753,197948.2732889442,17495.778325833533
24,471,03754,291048.3132293377,23445.856270526383
24,471,03755,132736.71218853517,14712.950043609528
24,471,03756,262029.87620725596,24705.654446001437
24,471,03757,657533.3328539846,44197.1749328967
24,471,03758,94428.7260572258,7476.582663519308
24,471,03759,352359.462956853,32915.20570070241
24,472,03760,287980.933258871,30852.019030652948
24,472,03761,153956.25637804033,22129.179859902026
24,472,03762,110932.85954633662,10916.543588093387
24,472,03763,301840.8186921235,32891.292999461875
24,472,03764,312380.6767463727,36935.012865099154
