ac08_id,facebook_pop_sum,facebook_pop_num_cells
2008-01-004,435388.8825276597,37416.65743435996
2008-32-013,194183.78973478032,17327.88965581722
2008-14-055,33001.29056814305,1698.749039977789
2008-14-056,22210.163660874,1643.5994619727137
2008-03-114,361402.2610110148,34958.899718428635
2008-33-072,362692.0596307002,26870.711314194443
2008-33-073,333158.2860476128,27289.51885901765
2008-33-155,337248.0935969023,18387.09268012945
2008-09-231,501106.5810098945,25914.405181576672
2008-18-126,300020.68370228354,35118.75928742916
2008-18-114,396974.2632936643,44465.55152763489
2008-18-121,172793.85177263073,18361.512020018083
2008-18-116,19718.56846699846,2231.501880177646
2008-18-124,411588.3592425087,42111.502998180425
2008-18-125,171496.92099856035,14271.542347736467
2008-18-117,295468.205182057,31298.25902410259
2008-18-113,380605.7852221828,49273.91887308325
2008-18-123,187617.8182151975,19509.42399596784
2008-18-122,294734.4454633828,33066.92827869559
2008-18-118,316558.7333057578,30419.024922836423
2008-18-115,261483.58575694475,28561.583149626877
2008-18-111,135273.54960850248,16653.886130172315
2008-18-112,212690.48902941577,22395.80818659204
2008-18-119,214819.5285341156,21455.03967639525
2008-18-110,486505.3342039562,48078.2405540829
2008-18-120,239887.4596038501,19205.739710987327
2008-18-107,159488.08772597223,14818.0371299361
2008-18-105,234205.45807502652,22917.77636586383
2008-18-099,180662.4852655915,16408.742704439257
2008-18-106,277968.5164018398,28995.054652993094
2008-18-109,250819.06685478543,31428.6047306479
2008-18-108,181218.03528062577,21818.77888103276
2008-18-103,198098.602703366,18369.304450171392
2008-18-074,243628.73603850356,34501.761848909664
2008-18-071,358287.2118159891,35698.07812004333
2008-18-104,229736.52654013428,22870.414574673166
2008-18-078,263609.6281296017,35968.730009614206
2008-18-102,127592.1020748868,14161.81731457272
2008-18-077,245503.3245473617,27624.10855572508
2008-18-031,285088.9910312288,40660.728650543526
2008-18-075,195519.1748755828,22446.930968932556
2008-18-070,428798.83709573554,34974.42083890936
2008-18-069,239913.12143133132,23363.524447655887
2008-18-064,202503.2416185828,22844.569081679976
2008-18-030,233489.3119868581,32494.662991393063
2008-18-098,191841.946255035,20339.92918986489
2008-18-076,242077.99801927505,26844.108766897272
2008-18-097,208589.22875587043,15153.090065866529
2008-18-101,165119.32898290872,15941.555479555773
2008-18-062,178251.1750505063,19684.02046662684
2008-18-041,165908.84173719538,20062.6871084423
2008-18-063,296349.3051923384,28169.94620647715
2008-18-058,333347.1813890237,31469.65063148201
2008-18-033,257213.3952687569,22179.931212987984
2008-18-040,252201.69242140933,27179.91306818001
2008-18-093,267704.73470113723,35764.2214395751
2008-18-028,322125.52854435914,36051.915887050665
2008-18-072,273415.42647724133,26196.503241612703
2008-18-096,309310.2110635111,37874.26415367071
2008-18-073,371881.6406645314,30520.933287800304
2008-18-100,329354.18490473373,22219.808922430188
2008-18-089,320616.15312202484,22663.367448615423
2008-18-042,208392.2351428473,26144.91724715015
2008-18-068,360031.2409692308,25493.981879719475
2008-18-065,220659.55272198105,33531.590660464695
2008-18-056,358433.6766753149,30298.87269700838
2008-18-032,278684.644029767,30204.44037137092
2008-18-017,259562.2847470544,48598.59076098006
2008-18-029,228889.34437233076,22236.103977665363
2008-18-059,386540.0148200037,25083.43492802912
2008-18-057,160747.13787864044,17026.3969880255
2008-18-088,209931.62328828388,11316.732546943553
2008-18-094,352425.8798923156,62766.86906423725
2008-18-018,192050.49663605477,22892.2545707376
2008-18-043,281293.7228939044,30202.242526783884
2008-18-061,198427.00194796745,21690.020989757613
2008-18-034,366656.67045607575,26560.584838224328
2008-18-067,256635.31495025108,24513.536046206948
2008-18-095,271686.0434454491,28290.03072159819
2008-18-085,264216.4614091712,19604.4624110756
2008-18-066,242798.1752681502,36430.51172955516
2008-18-083,352274.49530464475,19215.775954016823
2008-18-081,316748.3948574417,21352.36241082305
2008-18-044,419402.6401931003,38523.0462862872
2008-18-046,250747.835855069,25210.96409085121
2008-18-084,243290.4717865172,12827.70534517028
2008-18-027,404684.70251286007,35151.60363004619
2008-18-035,271985.0109917903,17999.41373942912
2008-18-060,375259.6317449024,29977.019529947396
2008-18-055,97152.10964192524,21779.168843031133
2008-18-086,225989.61939122385,15079.26833796202
2008-18-080,289755.9496194556,19134.55651819456
2008-18-087,337301.0138448571,20501.394336607547
2008-18-025,309440.68625258224,27175.54745171549
2008-18-019,250668.48610213623,43134.822084109735
2008-18-047,341150.39752193843,21264.76238596524
2008-18-051,117455.90886463124,18705.01196119981
2008-18-024,374498.2615120517,23994.119079853845
2008-18-026,358957.387705613,25238.59294271314
2008-18-079,417153.8688311157,35612.90286583062
2008-18-082,348411.7339279983,24673.74408551942
2008-18-045,247092.5010424833,24874.187673354227
2008-18-052,414747.3953668552,36339.97829374975
2008-18-038,273410.16397178924,26454.697945263077
2008-18-037,382482.605678013,27359.1993796188
2008-18-054,197562.6602495916,19060.05594876988
2008-18-053,795159.5248464642,46368.0108749514
2008-18-090,356075.79146666965,28000.602991021617
2008-18-049,353955.84139277256,31697.64861617092
2008-18-048,308516.59840872674,40413.264818793614
2008-18-039,126330.02683017695,13658.806242306033
2008-18-050,189595.12656502496,14812.323233884264
2008-18-020,331877.83984367806,41228.33763950545
2008-18-022,265430.97422505054,24513.529356874467
2008-18-036,287576.9601345811,28642.16480070022
2008-18-091,385966.64757984,24613.13251028093
2008-18-023,249350.9534044425,15286.557733327383
2008-18-092,381464.7192904262,31466.94425528756
2008-18-016,244354.80719715424,29116.913464268862
2008-18-021,386789.7678538037,19091.54817093316
2008-18-015,372677.9310824249,16343.22013381221
2008-18-012,336681.15735196485,15023.268206313282
2008-18-014,313987.853778398,8060.615796997376
2008-18-013,351824.00627240166,16495.864177050185
2008-18-003,296925.5611000926,8211.062333005015
2008-18-004,383803.7305180772,17581.382501794782
2008-18-005,223847.50825334463,9248.767180482428
2008-18-008,436603.1500180549,18142.293970037368
2008-18-009,124339.64182021932,2712.0866323369846
2008-18-010,199472.9648555034,6570.489126725137
2008-18-002,192583.10726155524,12468.589398013675
2008-18-001,261882.4411330381,11022.687206851318
2008-18-011,223497.05178257087,7304.00995737256
2008-18-006,261342.2070051537,12693.25393555744
2008-18-007,216657.5432570637,12426.314809506011
2008-20-001,368152.00013525726,12994.731068576291
2008-20-002,709937.440864136,24947.420281316958
2008-20-018,420206.01830674615,13211.914178319268
2008-20-017,499008.7551866018,23344.587761599447
2008-20-003,364506.349764375,15722.500725550191
2008-20-005,539955.2164834031,25733.775504736812
2008-20-004,346398.59925733216,17691.960337327502
2008-20-019,695353.9332325245,31058.21430006956
2008-20-016,428635.0907348977,21134.85166235047
2008-20-028,596653.3360012854,33751.41155781028
2008-20-079,428144.88951625896,27667.447098908637
2008-20-011,342446.64469235874,14629.44066704088
2008-20-015,707021.6032235709,43402.37126473669
2008-20-030,553554.2361730232,32961.9736083537
2008-20-006,401867.09641286096,17731.159242229667
2008-20-021,549794.8651155712,42608.336396446655
2008-20-077,227883.70753211697,17000.591562446556
2008-20-081,706905.682815658,56060.40606854222
2008-20-027,676330.2779792993,53035.75018329191
2008-20-012,402513.4397070364,23315.64836945505
2008-20-007,298254.16154002864,13807.96271757146
2008-20-031,742484.0229856273,47760.78302370588
2008-20-010,409804.4666572284,20287.84275534308
2008-20-078,740571.7689488701,35770.60914464155
2008-20-013,544960.4859139946,37358.43374128936
2008-20-020,485581.0638425075,34439.84617055231
2008-20-076,722857.6373127084,50112.57633478969
2008-20-026,624006.6475352383,58987.08406917057
2008-20-075,491953.3897036297,33726.85632849605
2008-20-014,467305.20183521655,31647.848453349005
2008-20-029,593634.1759854095,36947.43010628349
2008-20-032,303471.2779299992,16610.28561935607
2008-20-080,573184.5496287678,44540.01432143292
2008-20-025,587192.2244927887,45821.33004273735
2008-20-033,430059.67046196334,19567.840213967807
2008-20-009,507020.1929166702,34655.64882469429
2008-20-008,326354.9864289062,22109.444609039645
2008-20-024,683001.9731439333,58630.309876806445
2008-20-074,502333.5958421308,56180.12908319415
2008-20-042,423008.4701935304,26777.068069136298
2008-20-022,475950.6966524243,37704.90466898136
2008-20-034,520713.2700636815,41515.71349970937
2008-20-073,432504.00164247735,42599.67466609224
2008-20-038,535142.3662630294,33624.184100642226
2008-20-039,464743.53489627934,21426.918192703524
2008-20-043,268547.96820884035,15163.7668328543
2008-20-040,1023049.8913973458,23586.003202543496
2008-20-035,435070.9065103447,21264.700655979013
2008-20-041,236167.45828265423,5668.776083801391
2008-20-036,681971.6476359101,26713.332395338948
2008-20-037,488787.7442750766,19935.35551752439
2008-20-065,1103108.9803283643,66644.8514774321
2008-20-023,537780.4042207865,38498.46448837069
2008-20-072,500404.7194460045,48258.62461428049
2008-20-066,609871.2400411912,55536.30025274628
2008-20-069,303736.0435257964,33298.42012248945
2008-20-062,660452.6462127782,70405.07070688397
2008-20-064,293080.76804607443,25155.235800986517
2008-20-061,353921.20793848054,26031.53342230717
2008-20-063,246139.32914498143,12566.680150928678
2008-20-068,371495.788031208,38141.79793790416
2008-20-067,420631.1078349879,43592.277169749126
2008-20-060,360248.30571952206,33561.4645527082
2008-20-058,345465.98016591364,24115.98778365645
2008-20-050,349914.86727481545,29919.36814427933
2008-20-059,284768.44100780104,24781.734756103917
2008-20-047,1032243.6429620644,46798.3363808524
2008-20-070,324404.3791758644,33385.31634405075
2008-20-057,302981.5988330182,27850.617603816518
2008-20-051,546451.1573066491,42753.305316111815
2008-20-056,469498.7959336772,36594.01517255251
2008-20-048,440697.2250702389,18147.83054109953
2008-20-049,221670.2621932016,10170.745433104676
2008-20-071,328961.694256641,34920.53115726565
2008-20-045,363164.0529907193,24418.38978173834
2008-20-046,273546.22902196733,17928.7879015909
2008-20-052,433657.71538841655,35646.9138934439
2008-20-055,168020.45578227178,11746.95721811481
