pc11_district_id,pc11_state_id,facebook_pop_sum,facebook_pop_num_cells
532,28,2848714.0848507388,231392.41003204088
533,28,2707625.7610063464,188158.6810027084
534,28,4027557.98154476,364500.8357718568
535,28,3367890.104584359,240010.9189575748
536,28,3761457.850315144,74005.30760524135
537,28,7635551.378827492,394149.2049761374
538,28,4555349.685857755,355696.8189052202
539,28,3666471.2899562814,289761.58594997565
540,28,3733601.462544966,278174.78308498266
541,28,2910148.851826864,250656.8123671656
542,28,2696484.5930953748,142401.3788697993
543,28,2388893.252261115,132813.06148222176
544,28,4769938.982352079,241661.8378730149
545,28,5305797.194478598,288701.58860636177
546,28,4016093.4109657686,246269.5213058412
547,28,4701718.966030721,270913.92980576714
548,28,5236712.587839114,276216.2059776359
549,28,3653574.8967846087,284676.6244831505
550,28,3227590.4974840004,265686.69222812384
551,28,3105998.13060081,210855.04535253908
552,28,4547818.444661044,249242.0962846745
553,28,4453212.436415473,340981.23942596884
554,28,4485849.548695541,381011.9726229996
023,02,566883.6177081666,66753.82039568963
024,02,1637501.864479776,267900.4446098246
025,02,31041.390788450943,8085.558080732822
026,02,449452.7702582725,65225.96316601571
027,02,1128641.889529739,164325.446008978
028,02,487980.45505403634,87649.29654149951
029,02,575196.6317308189,122335.37456536044
030,02,498720.05586935935,60730.71495915471
032,02,564217.5938941718,62799.63641250785
034,02,85131.17110818632,12114.825402789516
300,18,1237048.7615169133,115097.48322627653
301,18,1942663.7265633144,142413.66872860712
302,18,1093461.052918386,99143.272735144
303,18,1904168.1140929423,182156.42937081688
304,18,1174693.069912106,85527.06007889491
305,18,3301170.7134518684,226082.3865576485
306,18,2104022.524393307,237410.5893140245
307,18,1140871.1412293685,125400.53301397507
308,18,741947.8743904155,91715.20428157791
309,18,1366072.1438473158,145157.04531648455
310,18,1444831.5644558528,142821.8947810295
311,18,1291028.724116186,130894.6366741656
312,18,1156458.5741051356,102806.17559002285
313,18,1250642.9090421335,168184.32044079702
316,18,2104273.038556418,76734.15930553942
317,18,1371968.2794762063,60050.13575414359
318,18,761655.1401470053,39941.51402070295
319,18,817705.0743497653,66901.30895624327
320,18,582794.0566910495,68512.06002306851
321,18,1585765.6181634855,173906.32328096215
322,18,1445464.1770759923,103088.73123999582
323,18,1009121.423318718,85188.5014180158
324,18,1134638.2333501298,111785.16790163564
325,18,1124712.824664649,114143.70735262716
326,18,857182.0081582302,90635.73787912016
203,10,4761802.400484249,150954.17754817323
204,10,6289151.714080012,239697.2942919421
205,10,810772.3157253731,37083.93515472789
206,10,4109196.3182564736,173816.7808973401
207,10,5023624.534869188,182757.261929712
208,10,2854834.987754482,156248.89683994415
209,10,3458104.6738695563,140578.63322224768
210,10,2216054.6249317774,109678.9647632436
211,10,4063325.123798985,181811.3012803598
212,10,3653465.283119145,165245.13379912314
213,10,2532304.7289655176,122572.61603707034
214,10,2312664.4403209444,104742.22587082238
215,10,4519927.255066983,201313.32994896185
216,10,5999983.190518075,276886.5277487696
217,10,2831520.7818647693,146026.31760641446
218,10,3855489.5988541096,192758.83096106932
219,10,4671038.983066416,215753.5132405345
220,10,4480070.485387779,149270.1773974512
221,10,5299903.070128352,241961.2743364025
222,10,3794629.39184094,157024.0765657253
223,10,2017122.7661721224,65124.84112960173
224,10,3374524.1646878645,113505.375084579
225,10,2758642.015182175,110982.98220236844
226,10,1664429.6937614444,69000.49968184269
227,10,1141470.516582741,46507.44206945917
228,10,743095.9689478329,26650.07340247341
229,10,3524364.70645166,116075.58735604628
230,10,6864880.63438582,243504.7434770649
231,10,3179988.8149643755,125011.80345632762
232,10,2034739.113381648,87233.57612885335
233,10,1903279.6343019365,87019.52985413007
234,10,3469818.0590387383,134459.33685282766
235,10,3131863.347318197,135641.26717008848
236,10,5340221.168196876,266247.7029863433
237,10,2681554.9181666733,113640.18906340416
238,10,2151034.7735538767,102479.20271122023
239,10,1354278.5674516114,48026.038060244144
240,10,593666.0542650684,20566.330823399083
055,04,730563.536350556,30506.46191386828
400,22,736997.4785062433,91798.48215422351
401,22,2703238.018272964,399079.4363040708
402,22,931227.9096843348,147684.64739603133
403,22,1592723.3332162804,154570.25801511464
404,22,1388111.727350639,137691.88774449448
405,22,1998409.9056573887,140533.94021723047
406,22,2902122.441324241,227572.1073298002
407,22,1107649.5448100949,78198.60191314557
408,22,1743284.468844484,150371.83480951848
409,22,3815475.841942247,286108.22197949607
410,22,5230509.778956017,358860.5670609054
411,22,1154967.9619917013,98783.82742758776
412,22,874733.9271343166,69584.43489429842
413,22,857535.980145665,99204.34978095772
414,22,1573909.6488079154,156861.21398435853
416,22,579749.2010812538,79713.29629040963
496,26,595081.2880929363,38340.70085731995
494,25,65995.33505085166,2700.3069615710992
495,25,176827.62954030684,12482.559206255362
090,07,4475001.552740162,105293.3999747251
091,07,988525.1453761624,20301.87308663191
092,07,2280755.2786447667,18782.61943660803
093,07,2243846.51137563,18746.1400504399
094,07,119757.69479282747,7728.776520283922
095,07,514402.4708560006,5060.667881566122
096,07,2933053.0448216386,59062.15205551589
097,07,2620937.970877567,89627.75072377535
098,07,3326432.8078905903,69579.88386669832
069,06,586326.7253780487,65293.03410313852
070,06,1304895.5148798418,122402.14193980118
071,06,1365431.8786124506,100798.2849677404
072,06,1041534.5601387406,109464.87690650708
073,06,1193449.2325029117,120972.91508959014
074,06,1673515.3787628624,156207.48435222905
075,06,1447386.8419264895,101119.56918269768
076,06,1657883.3987394187,143405.10304900983
077,06,1445284.3286451197,132601.5561831784
078,06,1060863.1312082715,168579.52810730765
079,06,1472007.4309493336,230331.68218575808
080,06,1892142.936505268,239851.84771002803
081,06,1895726.430138456,262620.7955096034
082,06,1162532.8483259329,98674.60186014949
083,06,964850.3629695824,128271.05036040366
084,06,922233.9218007748,117964.6478606562
085,06,947686.710671294,121337.00085305984
086,06,2473246.337120079,205628.2422224141
087,06,1281526.5322603686,97383.07881568366
088,06,2339233.3517245064,133710.53845441111
089,06,1305227.845800903,97368.6064203532
585,30,841041.1968695235,87364.75218530574
586,30,701793.4435744626,63630.58234668683
468,24,2621302.22468836,302259.7919755696
469,24,3687853.3481263914,436148.8780133615
470,24,1435009.8822761266,120412.36167380711
471,24,2122015.014337148,188580.18050980289
472,24,2793123.336478237,286473.3906062265
473,24,1330348.293437573,138071.87674137295
474,24,8665577.356909314,299381.29555817554
475,24,1966475.97864328,180831.63483845445
476,24,4345441.06022742,362156.6201213077
477,24,2380800.100824224,252585.4118213166
478,24,636712.6741550175,64040.56362949944
479,24,2958367.408885136,273079.98349511006
480,24,1608612.676036234,148417.8829807621
481,24,3272793.210716773,246738.66447816623
482,24,2739713.944817317,154613.35488159076
483,24,2238424.2145112595,171346.0163516035
484,24,2716038.8875293336,249836.15236816116
485,24,2669834.332472103,190170.7519317451
486,24,4551668.44994095,311413.953415993
487,24,673896.3328921442,41112.62972209815
488,24,1669309.915509122,129276.91386404424
489,24,281290.917198294,34924.013844041154
490,24,1436778.691052493,119192.6626012856
491,24,2033631.4783155909,160029.79497529185
492,24,8038204.008115186,253347.80912057703
493,24,967474.4557900892,95410.86271885814
001,01,1183924.0742411867,81469.71977127406
002,01,932652.4709636858,82071.47435026334
003,01,149207.521231961,45100.68432021025
004,01,181906.0143975958,22798.201588404365
005,01,901259.107867976,78870.56257663795
006,01,708258.5520344233,102926.37516418088
007,01,643776.1677178245,90343.98421893328
008,01,1288543.647452125,133930.52632163322
009,01,394206.6022492807,37609.92578195631
010,01,1101276.1251663712,62757.97065047957
011,01,415758.7014310901,35536.203021623136
012,01,892213.0764492325,55679.631592390826
013,01,385026.1895229875,34514.40669452585
014,01,1312893.1697819466,93720.8000228289
015,01,592157.5663529101,40488.24987984655
016,01,633358.5535120055,42564.91858895071
017,01,265929.43089329835,26533.05964647517
018,01,221534.635335922,26151.965364778123
019,01,791569.0845404535,97869.58977094947
020,01,368873.0361088645,53088.06615466451
021,01,2086036.7265963247,188916.1879597734
022,01,451922.1205415175,37002.773771919776
346,20,1671134.5057129755,131178.55808440963
347,20,1336779.4483273495,114298.47673580132
348,20,838213.9412445333,43222.29501200552
349,20,2969495.397867334,172804.10883189717
350,20,1821804.825593768,116384.19778140454
351,20,1538231.7603238097,63158.16099788622
352,20,1779852.1765331707,57977.40693118188
353,20,1035912.8418364064,48886.71517983467
354,20,2937574.4157216954,125669.50566147704
355,20,2423345.4994614394,126422.38791457308
356,20,563576.0780284991,53082.55335130516
357,20,2707607.2999218707,138247.7431246546
358,20,2263179.321542123,136868.32386893913
359,20,927328.355923769,99356.0051790481
360,20,2080945.6680306129,160314.3662742629
361,20,1012138.7413860544,77459.01066382376
