ac07_id,facebook_pop_sum,facebook_pop_num_cells
2007-28-040,397593.7079388377,12879.460202340197
2007-28-068,302372.27299021755,20142.75997717202
2007-28-075,264677.0498197422,18366.228475026088
2007-28-080,328406.2550198843,23382.27462515625
2007-28-190,295898.373578505,26071.073958839508
2007-28-287,326487.1741429846,20445.37672414559
2007-28-050,207025.67128243757,12694.171821335563
2007-28-056,207828.16920513584,11679.41380563016
2007-28-286,433187.5287519435,22697.638981192104
2007-28-048,287767.30582866183,13139.636895810863
2007-28-067,290190.92905075906,21088.133371644843
2007-28-049,372090.5910768405,17869.870471538015
2007-28-052,288543.34939873964,15578.131263727288
2007-28-192,293811.2883560235,27971.571585870814
2007-28-294,310534.4006091808,22174.5839080913
2007-28-082,336901.27134426805,27231.813373260644
2007-28-069,199662.4081237806,15412.36165498271
2007-28-051,186154.3567693045,8492.624519926729
2007-28-193,432250.2512532044,28132.94052012835
2007-28-064,177081.4455227229,9137.89658821005
2007-28-065,242285.036339966,12855.172581737716
2007-28-076,245557.54393905663,17102.623283427034
2007-28-105,351624.22789547336,21929.05051744281
2007-28-199,278362.3939633514,18179.83426872664
2007-28-198,381423.2870408766,27384.86147114545
2007-28-066,173546.24417803474,8098.065287998004
2007-28-070,297286.5005795026,10586.71695584309
2007-28-188,339528.27730596514,24159.752402363287
2007-28-106,385510.8381876453,18817.561746650797
2007-28-055,247874.6312489434,7811.800844502839
2007-28-053,221095.41634334976,4703.021519618109
2007-28-063,289591.8505287935,21734.737632882923
2007-28-087,226755.93286570703,15786.245202889491
2007-28-079,907906.7843901784,31555.73532669873
2007-28-057,185924.98453601333,5324.98977602247
2007-28-083,328374.291657183,19626.85994095244
2007-28-061,193376.02108118485,4905.437728907376
2007-28-194,401695.6623340873,29213.88342681369
2007-28-062,227859.04639020812,12620.708839609244
2007-28-189,329262.56411798904,26972.63124967646
2007-28-060,299012.6763661055,10392.80087087553
2007-28-107,316764.000199627,14559.123994510155
2007-28-103,230306.5849121536,15875.773180083695
2007-28-054,124389.99925887164,4891.196302915254
2007-28-086,176525.70091276057,10758.14188957974
2007-28-102,312140.92487354606,22143.18244327713
2007-28-077,219111.0778738701,4045.8641933704657
2007-28-078,169876.96150913194,3196.695564908965
2007-28-085,245372.07465122105,13489.772910233003
2007-28-058,177197.45549359673,8051.423855649074
2007-28-104,320760.8379702933,19764.696059023263
2007-28-059,273359.55224097945,11134.201762277196
2007-28-095,165386.50262718834,10715.308374462418
2007-28-084,168646.82384999638,10594.190772435795
2007-28-088,324106.5458192476,19304.0762622339
2007-28-109,405130.6532230744,19349.585456418543
2007-28-108,345056.0786014691,20557.74959981568
2007-28-197,439753.1209970589,34457.16117094178
2007-28-101,563623.3640212098,12959.385891360627
2007-28-195,302725.6530661673,22786.594488129485
2007-28-099,202355.2072452172,12204.108186209834
2007-28-100,217666.72825186176,5315.107629462356
2007-28-096,208275.0741453429,8607.657484273404
2007-28-090,180256.7792072369,13654.353485553764
2007-28-110,342490.12487821234,18266.44661069329
2007-28-122,357276.8833193172,21601.39965251624
2007-28-121,292190.0126338551,19539.444747416816
2007-28-196,271800.3809741872,22805.005112770217
2007-28-089,78605.95883478955,4731.1140518126485
2007-28-094,175421.29870679992,8671.025648191542
2007-28-093,153501.4685096206,9612.417862469722
2007-28-187,297777.7290797089,16789.807449639833
2007-28-113,273331.7688842604,22220.267477153466
2007-28-097,187570.2790011228,9539.483362436062
2007-28-091,136869.39764108974,10904.033580301017
2007-28-185,263736.54265920894,14905.571187047348
2007-28-112,263539.6124849907,19428.21004863077
2007-28-092,140693.02946647123,10535.703366991627
2007-28-098,297581.19240058697,19240.373657596298
2007-28-177,394122.4807336281,23582.208954130903
2007-28-114,230520.6418837359,21444.48366417214
2007-28-176,413060.8170835253,20522.171659752552
2007-28-179,483554.9584551898,19614.318235885017
2007-28-178,383523.5276405134,18460.40319023645
2007-28-111,140293.1300262759,4251.82350863429
2007-28-180,343932.1772315575,20368.7825550689
2007-28-120,312737.78593776934,24230.463346173565
2007-28-116,310228.6773882504,28634.533891108997
2007-28-115,339502.63378458354,21520.427303307748
2007-28-186,407060.1746897964,20362.7595817323
2007-28-181,320524.3274543193,18927.813269963957
2007-28-184,330338.90939157497,18668.847801493717
2007-28-175,276444.0711305119,17003.097214270918
2007-28-123,214711.80200242656,17504.05999596417
2007-28-119,251265.72930583928,27077.435534863107
2007-28-118,304105.8763418321,27132.15907634326
2007-28-183,316430.03538489755,17737.472859768313
2007-28-182,290929.42159316904,20267.15329186525
2007-28-117,296326.06242065533,27607.999755753957
2007-28-170,288220.1301463492,17096.25907374441
2007-28-155,263505.64302984806,22403.715000449345
2007-28-174,323014.1463198884,23081.7337650056
2007-28-169,268622.8614640837,18830.72223989373
2007-28-124,221579.91472958052,21588.247401292258
2007-28-168,289155.0199326156,24709.54241797095
2007-28-158,237966.24786820568,19397.839621583
2007-28-125,291875.9331615377,27237.870901984512
2007-28-156,270174.94830711384,15640.96513460041
2007-28-157,348991.92452041217,18982.98269915479
2007-28-171,285902.6641434624,26349.94883270969
2007-28-173,346599.43052218296,24700.36654763446
2007-28-126,223402.5130648178,17928.98435073479
2007-28-128,244649.35657743303,20283.7909047456
2007-28-172,496118.01722736383,31052.12547587963
2007-28-167,388664.9086661885,32328.82231330968
2007-28-159,226818.28838460136,18327.499520187965
2007-28-160,260886.9621869826,19272.50344577368
2007-28-127,212989.229616872,16811.315400235282
2007-28-151,257352.70554855696,16456.67039835773
2007-28-154,508133.6532457316,23042.67896203618
2007-28-131,286372.1771497283,31448.21213034734
2007-28-166,314740.8796366912,27584.228604921933
2007-28-129,259528.260278472,22952.514672120225
2007-28-161,277683.623541838,21199.727771860547
2007-28-153,273593.35074649955,22802.85897977455
2007-28-130,564462.897776549,30119.52465546312
2007-28-163,268647.32242316304,21125.150035990635
2007-28-150,223561.57215838827,18669.97567294119
2007-28-134,291691.32131334057,25063.71116396563
2007-28-162,224815.57734989337,16737.3874975988
2007-28-132,271845.31270291004,18809.782684924576
2007-28-165,285035.282103908,27863.549967776344
2007-28-152,247126.17511235832,17217.13186868868
2007-28-145,227796.96500398192,22227.06847211256
2007-28-164,362944.6133605607,23392.192650988
2007-28-133,274339.06291524594,23762.24895220872
2007-28-136,244257.9495565296,23180.398895615945
2007-28-146,230297.56224457765,19007.35978035572
2007-28-135,281820.4690726614,20763.59508549981
2007-28-147,242855.64568333665,24924.316133316024
2007-28-149,599937.3910423132,34568.565605065465
2007-28-148,279172.45806478604,26745.94450945593
2007-28-144,340149.9181281563,24673.327062038898
2007-28-138,248776.0910308652,23113.72895577878
2007-28-143,332005.0305587285,26786.10379088737
2007-28-137,280392.39327294123,13709.97985667337
2007-28-139,259136.2658328365,32807.50802030717
2007-28-140,284104.23428009136,24210.18580771057
